Text,Sentiment,ProdID
AirtelUg I think GB Bonus against G upgrade is hoax and propaganda Its today  days since I upgraded to G but up to today nothing like GB Bonus  ,Negative,14
apiowinnie AirtelUg Ive only been on Airtel for  months and so I cant provide objective judgement  but I was on Africel for a lot longer and the lousy customer care just drove me out Funny that they are on a daily campaign to get new customers but do very little to keep the existing ones  ,Negative,24
africellUG We are ready to surf till we are tired thanks ug  ,Positive,27
AirtelUg earlier this week I was in Napak Moroto and Kotido and your coverage was poor Misleading advert you got  disappointed   ,Negative,31
This AirtelUg g is a sham imagine it cant even upload a babys  picture   ,Negative,79
AirtelUg its  weeks nowI upgraded my simcard and you havent sent my gbplease do the needful before I tell Bosco  ,Negative,18
AirtelUg my GB of data meant for  days gets done with in one day Whats happening  ,Negative,4
Fade up with this ki AirtelUg money network  ,Negative,23
Birthday thread NB  Am happy  joy  Thank you AirtelUg and mtnug for the birthday wishes naye mumpereze ebintu ebikalu Ive been loyal and supportive as you claim for the last  years Silya message sagala kuntabula  ,Positive,40
africellUG has the worst internet so farRubbish  ,Negative,49
AirtelUg I was not using ma Airtel line oftenly so u guys disconnected it  So how may you help me  Should I get a new line or I can reregister ma old number pensive   ,Negative,18
AirtelUg How do you say everywhere when here in najjera I dont have network  ,Negative,14
africellUG Dont be Cheated  africellUG is here for you  ,Positive,66
mtnug Why is it that when I try to verify the numbers on my NIN it doesnt work  ,Negative,75
AirtelUg am bring to you a concern from one of your customers Please give your staff training customer care class I dont know if they are underpaid or something that they have to take it out on us but this is how you start losing business  ,Negative,65
JeidOmondi AirtelUg Why are you lying  ,Negative,65
AirtelUg help me understand what you rili mean when you say that my case will be resolved in hrs bt its the same shit for a week  ,Negative,90
AirtelUg Kindly let me know what could be the problem with my connections Still have my data on but I cant do anything at all The connections are totally off In the first days when I bought the mifi it was good after  week things went rough till now  ,Negative,58
africellUG You guys just rock my whooooole Martys weekend is sorted Keep rocking dont be like Dismas  joy   ,Positive,74
gadrogers mtnug I paid OTT buy i dont have the data sunglasses   ,Negative,37
Just making use of mtnug G in Kisoro before the hike tomorrow  ,Positive,13
mtnug And considering that online shopping still has its short comings using the momo card becomes very risky I import mtnug to make us feel secure when using this service it has potential but still very risky  ,Negative,14
africellUG st work on yo network reception in Namugongo Mbalwa Bulindo n beyond oba we shld run around like the guy in the Airtel advert  ,Negative,25
AirtelUg Your app doesnt offer accurate info on data balance For instance if one has GB or GB itll simply round off and say GB for both cases This is misleading Every MB counts  ,Negative,27
MSsekalema mtnug Aww thank you pray   ,Positive,46
mtnug Thank you for the mbs offer for  days  ,Positive,45
This AirtelUg Freaky Friday is a fraud These guys can never admit that they unusually deduct our data sometimes like they have done to me today  ,Negative,62
AirtelUg Freaky Friday feels like a week away sob  This Wednesday Gaga is a total joke  ,Negative,84
africellUG EricOf Thank you  joy   ,Positive,52
mtnug Im here to mainly complain  Whats the explanation of me having mbs I open a webpage and Im reading no single download streaming video or audio simply reading an article without even pictures and in  minutes the data is used up Yet no other app is open thinking   ,Negative,66
AirtelPresence please dont cheat people by projecting AirtelUg as G network its a G actually  ,Negative,82
Sometimes whats wrong with Airtel data u a GB after  minutes its GB U wonder where the MB have gone AirtelUg am really tired  ,Negative,28
mtnug  is your app ever going to work again  ,Negative,34
africellUG So if you assigned to me a sim card that has no serial number Im the one to pay for the cost going after a police letter  cant you verify my number which I know off headby calling the line if its active in my phone  thinking   ,Negative,57
For close to two weeks now after midnight mtnug network switches off G  and G to GSM in areas of    ,Negative,38
mtnug whats happening Your G is sloooooowwww  ,Negative,58
I need a soundtrack to my breakup with AirtelUg  What an abusive relationship this has been  ,Negative,75
Thank you AirtelUg  for resolving my issue and the timeliness  ,Positive,95
OmulungiHawt AirtelUg this is so true and so disgusting given you are all braging about G yet you antennas can not sustain connectivity  ,Negative,13
mtnug But please work on the quality of our Internet It is very  slowpoor Dont let us into temptation   ,Negative,40
AirtelUg the G network advert is so awesome  ,Positive,63
mtnug a number of clients have confirmed having paid money to my mobile numberto be provided  but the balance shows no such Is there  a possibility that money remains hanging in space for a certain period of time  Your intervention here urgently   ,Negative,29
Hard lining is bearing with slow mtnug network after buying your data relieved     ,Negative,1
With new developments the telecom currently boasts of having  sites and over  kilometres of fibre across Uganda covering  population making it possible for subscribers to enjoy an improved experience in Internet based activities AirtelUg  ,Positive,83
Its really frustrating using AirtelUg  datambu G nio  ,Negative,74
AirtelUg Are u guys even aware that your mobile money app doesnt work from last how many years i have lost count the following error appears always see the screenshot my number is  ,Negative,2
mtnug the internet network is so poor of late what could be the problem   ,Negative,32
mtnug I have minutes but I cant call other MTN numbers because apparently my balance is too low Whys that  thinking   ,Negative,75
africellUG I went to ur outlets to get aG lite simcard I didnt find   ,Negative,79
AirtelUg Airtel money is down  sob   ,Negative,10
DixonGates africellUG Obvious ass  ,Negative,5
But mtnug Whats up with your internet  Hasnt worked the whole day  Just buffering Wakanda g is this  ,Negative,26
But mtnug these Ayo things have been deducting my airtime for more than a year now How will I ever benefit  ,Negative,55
G What kind of sorcery is this africellUG I had to climb a tree just to get G with mtnug Thank God my monkey days are over  ,Negative,32
africellUG Thank you Well appreciate that  ,Positive,12
AirtelUg my line got blocked without prior warning Any reasons as to why  ,Negative,20
AirtelUg Really  We have to start this conversation again Poor internet connection Check my previous communication with you Someone is sleeping on their job  ,Negative,39
The king of the bundles has roared  grin africellUG were back to you  v  satisfied   ,Positive,92
The rate at which AirtelUg is spanking my data is alarming Im scared for my OTT too sob   ,Negative,72
mtnug Jst bogus Mtn so after getting the parliament deal with stolen taxes ue immediately stopped thinking abt omuntu wawansi MTN is shit  ,Negative,90
Fcuk you everyone at AirtelUg and fcuk your conny G Internet pout   ,Negative,88
Today is my first day I used mobile data since February  AirtelUg  Thanks for the experience I had today with your G power otherwise it has always been liquid telecom and hotspots  ,Positive,6
Unbelievable Speeds for mtnug in Kisoro  ,Negative,18
AirtelUg You promised to stop this messages from coming to my phone but they are still coming What should I Do  ,Negative,1
AirtelUg stop sending me your promotion massage if you cant send me free Mbs at least for once  ,Negative,37
See how mtnug has blessed me  sob  Thank you so much  ,Positive,100
africellUG CeaserTabulwane We need prompts of using airtime I have used Africell since  you and I know Africell money has never worked  Twebereremu  ,Negative,38
mtnug I honestly have no idea why its blocked Bse its verified and all that So I cant figure out why am blocked  ,Negative,93
mtnug the most frustrating part was when one Ben from customer care put me on hold for over an hour as I was waiting for another attendant to finish the reversal of my transaction  disappointedrelieved days now Seriously  rolleyes   ,Negative,50
AirtelUg Well I have reported technical issues many a weekend with no response till the end of the next week So if they work looks like they do not respond to any queries nor have the information to provide  ,Negative,100
Who owns AirtelUg They should give my management a call They actually have great packages but slow netiwaka I bring the real G not this kwara G  ,Negative,1
AirtelUg  time i have complane then no result  Better i Throw the airtel sim then i will use mtnug  ,Negative,85
whycatLuyima AirtelUg  joy Bro this network is a scam  ,Negative,46
AirtelUg This ad is funny  it has got a point  joy  i am now enjoying G internet connection  ,Positive,30
AirtelUg  Falling in love with G LTE super fast airtel internet  And thats how my heroes day found me  Browsing through the weekend  I need more of this LOL  ,Positive,36
AirtelUg whats wrong with your network Here ready to live stream the UCL final but its not loading  ,Negative,47
mtnug MuhendaJob Hello please help me out I no longer receive calls When people call me it tells them my number is busy when its on please help my number is  ,Negative,23
Now AirtelUg why send me a message of getting disconnected today Please bare it in mind that Ugandans dont work best under pressure give us our time kubanga you didnt donate to us your bi simcards msteeeew  ,Negative,80
mtnug Thanks for the feedback Will action inline for a better experience  ,Positive,5
AirtelUg Ive been getting offers of mb daily  GB weekly and GB monthly  I dont really how dynamic it is honestly from mb which i have used for just roughly wks  ,Negative,18
AtimCharlotte mtnug am one of the concerned customer and I used to consume lwaki mutukoze ekigambo mazima dala First of your data is expensive naye mama  ,Negative,86
africellUG SheilahGashumba Why am I blacklisted  ,Negative,52
nyombiiggy mtnug Yes yes they are a bunch of data thieving guys  ,Negative,66
mtnug why cant a nigga make calls My bet is because I havent reregistered  ,Negative,100
mtnug Nothing specific just Call Failed  ,Negative,13
mtnug Thanks our mtn  ,Positive,52
Is it me or AirtelUg internet has been totally abysmal recently Particularly today  ,Negative,39
Dear AirtelUg  has been your best customer for almost  years but its like you are taking him for granted now  Tell me if he relocates to karamoja for that G experience because kampala bigaanye pout   ,Negative,58
Am I the only person whose africellUG Dont be cheated data got expired before the  days they indicated oba it was just a another fraud   ,Negative,26
nilehoteljinja Thanks utilising my AirtelUg Internet to keep online at  ,Positive,73
Salongo mtnug Thank you hearteyes   ,Positive,55
AirtelUg you promised to give me  days Its hardly the nd day and my bundle is over  ,Negative,88
africellUG It doesnt get any beta than this  blush Today and the next two days are gonna be lit  raisedhands   ,Positive,57
africellUG Tired of buyin social bundles on weekends via Payway and boom my money is gone without even the bundles and i call your customer care and all they say mbu i call Payway and also dey tell me your Network is not working  your things  ,Negative,58
mtnug TIDAL Tidal is having technical issues please fix it  ,Negative,63
mtnug  Karim I always tether with this iphone and even watch some videos using my Airtel data which I use for my computer as well and it goes for more than a month With MTN I dont even stream anything Btw on Thursday I loaded as I was traveling but before I could reach it was done  ,Negative,7
mtnug Pamankunda This hell of a procedure has failedyesterday went to Hoima branch i was told to buy a form of hen j went to buy a form the lady had no balance so i left and in fort portal there was alot of jam so let me relax waiting being disconnectedWill use others  ,Negative,44
mtnug why is the network off and just merely trying to use another number to call customer care you guys dnt pick up unamused   ,Negative,93
But really mtnug are becoming real thieves I bought only received WhatsApp msg and they sent me a msg mbu i have used up my bundle  Really MTN God is seeing you  ,Negative,65
AirtelUg Yes Why is it that the more you consistently use them the more the charges shoot up  ,Negative,86
AirtelUg something wrong with mobile money  ,Negative,80
mtnug are you loadshedding the internet  rolleyes   ,Negative,51
Am in  but am fully enjoying mtnugs network as if am around Bugolobi  satisfied  Kyokka the one seated next to me is fighting with his G  ,Positive,9
AirtelUg Guys thanks so much  ,Positive,77
mtnug I have issues with momo card what happened  ,Negative,61
Am now like speechless coz the data loss with AirtelUg is at its peak I think they r trying to frustrate some people who still have so called g discards They want them to upgrade but at a cost  ,Negative,70
What is wrong with mtnug I cant put my pakapaka bundles Am pissed  ,Negative,75
nessamkay AirtelUg  joy  nze I want my internet to be fast  ,Negative,89
AirtelUg Its still the same MBS the data I use for days cant be used up in less than hrs  ,Negative,26
mtnug should explain how you buy voice bundles using MTN momo and you are granted successfully transaction but you failed to see the bundles You try calling customer care and they tell you to restart the phone but still nothing happens and you have lost your money  ,Negative,35
mtnug  G is far better than AirtelUg G internet speeds Come beat me if you can    ,Positive,3
The greatest trick AirtelUg pulled was to convince Ugandans  uganda  that it has countrywide G coverage amp UCCOfficial fell for it Makindye barely has stable network Airtel should remove their AD  ,Negative,53
AirtelUg I can happily say Airtel data is a winwin situation I closely watched  GB loaded yday after lots of apps updatesstreaminghotspot pairing with laptopI still have mbs with mins of callsits not going anywhere amp evthing is fastBig Ups  Airtel  ,Positive,53
My Airtime on two consective times taken without even making any call You dont demand me on any of your platforms Naye dala why this broad day robbery with Airtel network AirtelUg andsjeff  ,Negative,94
Thank you africellUG  heart   ,Positive,70
AirtelUg MDAirtelUG U fools angry  i dont think u also use ur network to operate  angry according to how bad it is angry muwoza G ma ass putlitterinitsplace   ,Negative,75
I dont know how I should reward you africellUG  placeofworship  thank you for those bonus Im a happy client hugs  I dont regret trashing my AirtelUg line  ,Positive,31
AirtelUg I tried putting m on my Airtel money and it refused  ,Negative,8
LotusUganda mtnug You guys why did disable the MM section on the  now the app has no meaning to me at all Help us please  ,Negative,40
AirtelUg I was promised hrs at most to have my problem resolved hrs later nothing yet I have had to purchase another bundle Any update  ,Negative,21
africellUG I dont mean notifications from africell I get notified I bought the bundle What I mean is after purchasing the bundle if someone tweets something I dont get a notification that the person tweeted unless I go on the app and refresh it then I can see the new tweet  ,Negative,43
Irenentale africellUG Hahaha use airtel G cos there is network n the whole town  ,Positive,37
mtnug been experiencing very irregular network that results into dropped call What could be the problem  ,Negative,87
Dear AirtelUg thank you for solving the network problem in bunamwaya  ,Positive,83
mtnug what is wrong with yall I cant buy data check my airtime or make calls I cant call the helpline  tiredface  It says other error Nze mbikoye  ,Negative,25
Good morning AirtelUg MDAirtelUG  I reported an issue about a transfer that was never completed from my airtel money account to an Eco bank account that was on th June Upto now the issue has never worked on vide case no C I am really tired of waiting  ,Negative,87
AirtelUg Tell your agent Samson whom i spoke to about airtel bank transaction that he lied to me very well and i appreciate the lies  vgsoma  smirk   ,Negative,41
Dear mtnug is there a way you could stop sending me OTT related promos and messages  ,Negative,63
PyeparFaisal Recently I contacted mtnug using their whatsapp number and I was very pleased with the services Kudos  clinkingglasses   ,Positive,10
mtnug  you are continuing to charge your customers for simcard verification after  years of operation It shouldnt have been you be kind to us Yesterday i paid at your Kajjansi customer care service outlet be kind to us pliz thanks  ,Negative,3
Dear MTN mtnugcare MTNug Just loaded k worth mins voice bundles I immediately dial  n find mins Me as omuntu wawansi My k doesnt come easy When I load  mins which u annoyingly cut from mins I need  use every min Next tym e Ill sue  ,Negative,10
AirtelUg Meanwhile it still states the same number cannot take calls now  ,Negative,62
Dear AirtelUg  due to the too much pressure u put on me  i decided to do wat u wanted thts upgrading  buh in return i had to receive my  GB  buh its turing to be lyk mwankubilayoits now aweek PLZ  MY DATA warning AirtelUg  ,Negative,77
Yo mtnug why I cant activate this offer  confused  the way I was hurrying so that you dont change the offer but with no success  ,Negative,96
africellUG  What costs does it take to extend the connection to  the whole of Mpigi Just moved there recently buh am about to start being cheated I dont want to be cheated  ,Negative,1
Mtnug whats the problem with the Internet  ,Negative,43
africellUG  i want you people to take our money serious i bought your gb social bundles with OTT but i cant upload a video on Watsapp nor Watch videos on Instagram  so leaving your bundles MWEDDEKO  ,Negative,9
Wow AirtelUg customer care  unamused  you havent been of help even after hours  ,Negative,94
This is the latest from africellUG  Cheating is unacceptable    ,Negative,60
I wish we could get Networks like AirtelUg the way these guys made my week  Clap for them  raisedhands  raisinghand  twowomenholdinghands  twomenholdinghands  clap   ,Positive,82
mtnug Your service centers upcountry are charging people sh for verification So maybe you should address that before you set deadlines DM  ,Negative,84
mtnug Why is it tht the pulse pp can not login me in on my IOS device  ,Negative,54
AirtelUg Im at your service centre and they are as unhelpful as this reply  ,Negative,61
AirtelUg your Internet please  ,Negative,94
AirtelUg If u check that screenshot I have bars n LTE not G but even loading google is a big problem esp today  ,Negative,7
papidanny AirtelUg should first give you free data just wishing you a birthday isnt enough  joy   ,Negative,41
AirtelUg I bought yo sim card at the beginning of last month and was active for just days and went off upto now its not yet activated    ,Negative,86
Thank you africellUG  I called helpline with an issue about my swift bundle not working and the gentleman I talked to bought me data to help out I have forgotten his name but I think it was Steven Gerald Thank you man  ,Positive,33
But mtnug mtnugcare  my mobile internet is too slow this week Is there a problem or its my phone  ,Negative,51
StKyamutetera AirtelUg For some reason I think horrible isnt enough to describe how bad an experience its to have Airtel as your only ISP choice  ,Negative,27
AirtelUg  your network sucks  ,Negative,62
africellUG GWAYug Good so good  ,Positive,33
AirtelUg u guys I appreciate all your services  buh I renewed my line days back n up to now u ve not activated it n uk reaching u guys aint easy  ,Negative,5
AirtelUg EliOkure Excuse youplease address the najeera network problems  Its SO BAD  ,Negative,10
mtnug did you pay money for this translationI am ashamed seeing this is not langi neither Acoli but this billboard is in Guluif I may guess  if was Acoli then should be Watye Kaa cel if langi should be Watye kara acelso which language is this  ,Negative,33
mtnug Am soo disppointed at you people working on whatsapp you ask them it takes them hours to reply back  ,Negative,52
AirtelUg leninvictor This shit of DM your number never results into meaningful help  ,Negative,3
Ehh my dear mtnug how dare you chop mans hard earned money twice when renewing my tidal premium subscription via your app and only give me  days I personally dont care if you chop it twice and give me  days but u take  months subscription and only give me  This thugery  ,Negative,94
mtnug RonnieReaky I hate MTN with a passion  ,Negative,34
mtnug Why cant I make calls load airtime etc on my accountnumber yet I registered it and also verified that I had registered  ,Negative,29
AirtelUg you need to strengthen your G in Munyonyo areanetwork jumps straight from LTE to G whenever I start browsing and its frustrating  ,Negative,81
simonsayzdgtl AirtelUg Airtel is kinda on en off  ,Negative,53
mtnug your service centre at acacia mall is still locked yet designated business hours state otherwise  ,Negative,76
Paying using mtnug MM at Shoprite was absolutely smooth experiencetook less than  seconds Thats good  ,Positive,2
When mtnug lie that its G  ,Negative,20
mtnug You are another problem of this country that needs to be checked  pout     ,Negative,67
I dont understand the way AirtelUg s data Is running I bought mbs today morning at around  Am but before pm data was finished not only me and my work mate is complaining about the same  ,Negative,63
AirtelUg I upgraded my simcard last Friday but I havent received my gb of data  ,Negative,50
Why is the My MTN app still down  ,Negative,35
 mtnug mobile money network is off Eid yaffe is at stake  ,Negative,48
africellUG Still good but stop capping speeds  This slows your internet hence meaningless  ,Negative,15
africellUG over the past two days my data has just been disappearing  Whats up  ,Negative,42
mtnug But why Is that your internet bangs a lot of data  ,Negative,62
sonwilling Airtel internet is the worst to dwell on  ,Negative,6
The incredible ping test results for Africell Internet on my WiFi the Latency is just ms My goodness Ive never seen anything like this ever since I started using internet Am so grateful to africellUG  for being the only internet Service Provider with reliable Internet  ,Positive,73
The way AirtelUg  is consuming my data I need a new data peovider  ,Negative,80
AirtelUg You guys are totally Trash Your G is even worse than G from the time I upgraded I have been living in regrets unamused   ,Negative,75
mtnug  This is terriblewas at Mtn Shop at Kampala road opposite simba telecom and wanted a SIM card Wasswa a field service team member wanted to first watch news on ntv then serve me there was lady called Jackie at till she barked at him then he had to serve meso bad  ,Negative,4
africellUG Airtel money is down I cant get airtime  ,Negative,99
AirtelUg There was no network Below is a pic of our work convoy from Napa to Kotido  ,Negative,86
AirtelUg why are you lying about your G capabilities Just why  ,Negative,42
AirtelUg Please work on your poor internetnetwork i personally opted out on this promotion as wasnt experiencing value for money  ,Negative,34
AirtelUg Airtel I am still waiting for a response to my message which I sent to your inbox  ,Negative,24
africellUG whats happening to you chaps Just loaded credit and youre telling me i dont have airtime  ,Negative,40
AirtelUg amp DStv now App are not compatible Even with a G connection the app still buffers  ,Negative,70
mtnug Around pm I restarted my phone twice thinking the problem was my phone no interest couldnt call couldnt check my airtime balance  Any official communication about what happened poutingcat Just curious  poutingcat   ,Negative,42
AirtelUg you disconnect my line  days after reverification my line is still blocked Am a very dissatisfied customer  ,Negative,61
Chigatoxin AirtelUg But is this G for real coz to me its as slow as G  ,Negative,49
AirtelUg Please work on your G ehh the suffering is too much At this rate I prefer the previous G kyaba tooo muchi have to look for network in Bukoto  ,Negative,93
AirtelUg Yesterday I sent money from Airtel money to my bankdid it reach coz I didnt get any notifications  ,Negative,75
KagutaMuseveni AirtelUg Their data is little  ,Negative,88
AirtelUg thos is mark  What is wrong  with freeky friday datta I activated the package  but it is not working  ,Negative,6
PitPantherr mtnug Network is just becoming worse  ,Negative,84
AirtelUg But why have u changed the way freaky Friday has been Because before we were charged shs  and get  GB and  minutes for  days then changed to  GB why has is it that today we have been given only  GB for  days at shs  please i prefer at shs GB for  days  ,Negative,52
When youre trying to make a Skype video call on AirtelUg network if you listen closely youll hear the people at their Service Centre laughing at you  ,Negative,59
These MNOs fool us mbu they have reduced MM sending charges yet the socalled deductions are compensated in withdraw charges mtnug AirtelUg  ,Negative,85
The moment I switch off my data you hear mtnug you used up your data boundle so irritating style up your rates cheat  pout   ,Negative,18
EDGARNGONZI mtnug The MTN app seems to be kaput  ,Negative,28
mtnug You will always remain the best  ,Positive,90
AirtelUg my airtel simcard not activated hrs after registraion seriousy  ,Negative,46
I hope AirtelUg doesnt start this nonsense  ,Negative,26
nwscug AirtelUg This is what I got I took it to kiwatule branch Did not get the help I expected from the branch Which branches are approved to receive these statements  ,Negative,45
AirtelUg fake G experience Very slow Infact its too slow it even buffers on simple gifs Whats happening  ,Negative,14
Dear mtnug kindly sort the issue of missed call alerts when phone batteries go off thank u  ,Negative,7
mtnug its only proper to communicate to yo customers general issues in daily service platforms Bin more than a week of failures to transact MM btn networks or is it just my phone  ,Negative,55
mtnug The network is poor please help us  ,Negative,43
africellUG The price keeps increasing I am sure next Wednesday it will be GB for k valid for  hrs  ,Negative,54
How I finish AirtelUgs freaky Friday data in over a day and a half is beyond me  ,Negative,64
MMatama mtnug The easier question to answer is what isnt wrong with their internet  ,Negative,67
mtnug the app shows ugx  but you are deducting ugx   ,Negative,70
GOtvUganda am unable to resubscribe through mtnug Mobile Money menu  ,Negative,77
mtnug How come out data is disappearing so fast Us customers had nothing to do with the deportations  ,Negative,5
AirtelUg Thank you for delivering on your promise G in Kanungu as well  blush   ,Positive,81
The AirtelUg G LTE to cover the whole of Uganda First telecom to achieve that  from the  ,Positive,39
mtnug on top of that in the whole of Nabisunsa we have no network mtn keeps getting worse and worse no one can make a call here tell us  ,Negative,95
mtnug there has been poor accessibility of internet services for quite a while in nakasongola now Please help us  ,Negative,16
AirtelUg Improving User experience should be a daily routine not today only Improve your G internet speeds in densely populated areas within Kampala  ,Negative,88
Thanks so much mtnug  ,Positive,52
mtnug  i bought voice bundles on rd june and money was deducted from my MM account but didnt get the bundles Mwagala tumale baloga to refund angry   ,Negative,80
AirtelUg  Please start telling us the exact time our bundles will be expiring  ,Negative,39
AirtelUg How I am still waiting for feedback that was promised for the Saturday afternoon incident report  ,Negative,44
mtnug internet bundles are a scam pout   ,Negative,21
BREAKING  Telecom regulator UCCOfficial has asked telecom giant AirtelUg to respond to a G Data Investigation The commision says G Data speeds are not as fast as advertised Airtel has  days to respond      ,Negative,47
JGongSoft AirtelUg Its equally terrible here yet am stay near to their Mulongoti  ,Negative,24
AirtelUg poor network at Lukuli Rd This is the capital city for crying out loud Who do we need to know for us to access quality and fast internet that we pay for  ,Negative,9
mtnug stop putting fake promotions that are there to just embezzle our money was given bonus after calling yo agent tells me that I dont see any bonus stop here is the pic attached  ,Negative,16
mnicklausevans AirtelUg I have two airtel simcards and one isnt registered in my names its airtel money is blocked but unfortunately one of my friends was to be sent money via my other number but instead t was sent to thus blocked numberit was kthese fools said they can do nothing to help  ,Negative,78
AirtelUg Last week I won  you asked my number I sent it but you never called me to correct my ticket  ,Negative,53
Hello UCCOfficial Why do Ugandan telcos harass us with robocalls mtnug you are the culprit Im thinking about at the moment I have put up with your calls for so long but why call people at am in the morning  ,Negative,88
Holyweed AirtelUg Most people are complaining of Airtel now  ,Negative,93
africellUG Wish u cud give us more data instead of minutes  ,Negative,39
mtnug MTN if you dont sort out my line by the end of today ill walk into your service centre with a tray of rotten eggs and the guy in charge of swapping SIM cards will get it  ,Negative,47
africellUG SheilahGashumba This time round you oba cheated us like the other Easter weekend  thinking   ,Negative,13
AirtelUg I just put on gb I cant even tweet  Your network is shit  ,Negative,22
mtnug Wow Nice Thanks a lot    ,Positive,60
AirtelUg Even after failing to send my GB G upgrade data  The network is just poor  Let them send my data also  ,Negative,84
AirtelUg your G has been wonky all day When I switch on my data it immediately shifts from G to G amp then promptly stops transmitting data  ,Negative,77
We get times this for much less with africellUG s  soNo thank you  ,Positive,95
I really like your internet mtnug it is super fast amp affordable I have to use it everyday It has seriously made my business to grow Please keep it up  ,Positive,23
AirtelUg How can I send money to someone and it doesnt reach  Yet I dont remain with any balance slightlysmilingface   ,Negative,48
AirtelUg is there a general problem coz every time I dial  or  it keeps showing error for the past two days dnt tell mi to restart my phone coz I hv done that times please advise  ,Negative,92
Let me Stick with my africellUG  at least you guys Mastered the Art of Omuntu wawansi  ,Positive,99
mtnug Yello Unfortunately this transaction could not be completed at this time try again later  ,Negative,7
AirtelUg G internet is such an embarrassment  ,Negative,55
AirtelUg I bought data of gb at shs using my airtel money on th May  at  am till now have not received my data And have been complaining you guys are not caring  ,Negative,82
AirtelUg when do I get to use the data I have bought  ,Negative,17
mtnug some help here For Six full days nowI havent been able fo call or receive a call Calls drop every other time i try What could be the problem Thank you  ,Negative,99
mtnug I keep getting this error message while trying to load your mtn  bundle Please assist Ive already Dmd you and provides my phone number Awaiting response  ,Negative,19
AirtelUg Reduces Calling Rates Across All Networks  ,Positive,97
AirtelUg Its hrs  this is more than a delay  ,Negative,51
mtnug Hello mtnug I have a problem I cant remember my mobile money pin code yet Im not in uganda is there a way of resetting it without me coming there  ,Negative,60
mtnug what happened to the MTN App  ,Negative,70
mtnug I purchased a GB bundle for but it doesnt seem to reflect Please help mtnugcare  ,Negative,91
Hello mtnug Iam trying to purchase content from itunes Store but my MTN momo card is being declined Error message says The payment card you entered is not valid in Uganda Please provide a valid payt card for Uganda  Please help me out Thanks  ,Negative,25
africellUG guys your speeds are killing me right now can barely watch a p video without buffering  ,Negative,46
omwanawakabale mtnug You must be having a background process chewing your data in silent Activate Data Saver to reduce on what apps can use your Data whenever you load it How about that  ,Negative,93
AirtelUg Your network smirk  confounded hw can i take  hrs offline  ,Negative,66
